,Mkt-RF,SMB,HML,RMW,CMA,RF
20150102,-0.11,-0.56,0.09,-0.21,0.1,0
20150105,-1.84,0.25,-0.63,0.15,-0.13,0
20150106,-1.04,-0.78,-0.27,0.53,0.04,0
20150107,1.19,0.16,-0.65,0.22,-0.14,0
20150108,1.81,-0.1,-0.27,0.13,-0.19,0
20150109,-0.85,-0.02,-0.5,-0.13,-0.17,0
20150112,-0.79,0.34,-0.37,0.11,0.2,0
20150113,-0.19,0.25,0.03,0.32,0.03,0
20150114,-0.6,0.28,-0.49,0.23,-0.14,0
20150115,-1.08,-0.94,0.63,0.65,0.59,0
20150116,1.36,0.5,-0.14,-0.29,-0.09,0
20150120,0.11,-0.75,-0.55,0.03,-0.52,0
20150121,0.42,-0.91,0.55,0.23,-0.02,0
20150122,1.58,0.45,0.41,0,-0.12,0
20150123,-0.47,0.44,-0.82,-0.04,-0.59,0
20150126,0.42,0.58,-0.05,-0.37,-0.09,0
20150127,-1.21,0.76,0.23,-0.33,0.51,0
20150128,-1.39,-0.18,-0.77,0.53,-0.19,0
20150129,0.98,0.19,0,0.01,-0.33,0
20150130,-1.3,-0.81,0.03,-0.18,-0.46,0
20150202,1.25,-0.4,0.99,0,0.17,0
20150203,1.49,0.24,0.51,0.05,0.44,0
20150204,-0.35,-0.09,-0.2,0.35,-0.13,0
20150205,1.1,0.44,-0.16,-0.48,-0.2,0
20150206,-0.2,0.07,0.38,-0.21,-0.09,0
20150209,-0.46,-0.37,0.09,-0.03,-0.01,0
20150210,1.04,-0.36,-0.69,0.11,-0.42,0
20150211,0.03,-0.18,-0.33,0.03,-0.08,0
20150212,1,0.2,-0.09,-0.13,-0.15,0
20150213,0.47,0.16,-0.29,-0.29,-0.23,0
20150217,0.17,-0.01,0,-0.12,-0.16,0
20150218,0.03,0.24,-0.81,0.33,-0.16,0
20150219,-0.01,0.22,-0.35,-0.05,-0.39,0
20150220,0.61,-0.44,-0.26,-0.11,-0.09,0
20150223,-0.08,0.04,-0.37,0.4,-0.21,0
20150224,0.32,-0.02,0.69,-0.23,0.36,0
20150225,0.02,0.19,-0.51,-0.6,-0.22,0
20150226,-0.08,0.54,-0.47,-0.16,-0.32,0
20150227,-0.36,-0.21,0.22,0.08,0.32,0
20150302,0.62,0.2,-0.43,0.01,0.08,0
20150303,-0.43,-0.29,0.3,-0.03,0,0
20150304,-0.41,0.1,-0.4,-0.04,-0.26,0
20150305,0.15,0.21,-0.43,-0.53,-0.15,0
20150306,-1.29,0.29,0.43,-0.13,0,0
20150309,0.37,0.09,-0.02,0.25,-0.03,0
20150310,-1.63,0.43,-0.47,0.14,-0.13,0
20150311,-0.04,0.61,0.52,-0.5,-0.03,0
20150312,1.28,0.4,0.5,-0.1,0.23,0
20150313,-0.57,0.19,-0.03,-0.13,-0.13,0
20150316,1.23,-0.78,-0.41,-0.14,-0.14,0
20150317,-0.2,0.53,-0.02,0.05,-0.31,0
20150318,1.08,-0.48,0,0.18,-0.02,0
20150319,-0.36,0.8,-1.1,0.09,-0.41,0
20150320,0.81,-0.1,0.54,0.43,0.26,0
20150323,-0.19,0.2,0.24,0.2,0.31,0
20150324,-0.51,0.52,-0.29,0.1,-0.21,0
20150325,-1.56,-0.89,1.03,0.39,0.51,0
20150326,-0.22,0.09,-0.06,0.04,-0.22,0
20150327,0.32,0.43,-0.69,-0.19,-0.12,0
20150330,1.24,0.06,-0.04,-0.22,0.01,0
20150331,-0.75,0.45,0.37,0.22,0.24,0
20150401,-0.38,0.34,0.42,-0.15,0.24,0
20150402,0.35,-0.11,0.31,-0.12,0.24,0
20150406,0.61,-0.28,-0.15,0.21,-0.21,0
20150407,-0.22,-0.19,-0.16,-0.18,-0.23,0
20150408,0.37,0.47,-0.72,-0.09,-0.27,0
20150409,0.41,-0.71,-0.06,-0.28,0.15,0
20150410,0.49,-0.15,-0.28,-0.47,0.2,0
20150413,-0.38,0.55,0.23,-0.13,-0.14,0
20150414,0.11,-0.13,0.19,0.09,0.08,0
20150415,0.57,0.27,0.32,-0.18,-0.06,0
20150416,-0.08,-0.1,-0.21,-0.18,-0.21,0
20150417,-1.23,-0.43,0.22,0.18,0.09,0
20150420,0.95,0.14,-0.27,0.42,-0.32,0
20150421,-0.1,0.13,-0.76,0.12,-0.24,0
20150422,0.46,-0.39,0.17,-0.02,0,0
20150423,0.29,0.29,-0.23,-0.03,-0.21,0
20150424,0.17,-0.55,-0.29,0.71,-0.55,0
20150427,-0.54,-0.68,0.56,0.52,-0.03,0
20150428,0.27,0.26,1.02,0.08,0.44,0
20150429,-0.38,-0.72,0.74,-0.74,-0.01,0
20150430,-1.11,-1.01,0.78,0.27,0.48,0
20150501,1.01,-0.31,-0.62,0.3,-0.18,0
20150504,0.32,0.09,0.24,-0.18,0.03,0
20150505,-1.19,-0.14,0.5,0,0.29,0
20150506,-0.31,0.6,-0.13,-0.27,0.11,0
20150507,0.39,-0.01,-0.39,-0.25,-0.01,0
20150508,1.21,-0.56,-0.12,-0.31,-0.24,0
20150511,-0.39,0.66,-0.03,-0.09,0.01,0
20150512,-0.27,0,0.07,-0.16,0,0
20150513,0.01,0,0.02,-0.07,0.03,0
20150514,1.01,-0.16,-0.35,0.11,-0.43,0
20150515,0.05,-0.21,-0.2,0.3,0.26,0
20150518,0.44,0.73,-0.09,-0.19,-0.27,0
20150519,-0.09,-0.07,0.23,-0.1,-0.04,0
20150520,-0.05,0.19,-0.14,-0.13,0.06,0
20150521,0.23,-0.29,-0.02,0.07,-0.16,0
20150522,-0.22,-0.13,-0.14,-0.12,-0.07,0
20150526,-1.01,-0.03,-0.01,-0.14,0.16,0
20150527,0.93,0.3,-0.34,-0.08,-0.29,0
20150528,-0.12,0.1,0.13,-0.24,0.09,0
20150529,-0.58,0.06,0.06,-0.23,-0.02,0
20150601,0.17,-0.06,-0.22,0.21,-0.37,0
20150602,-0.02,0.33,0.33,-0.15,0.16,0
20150603,0.39,0.86,-0.24,-0.19,-0.06,0
20150604,-0.88,-0.08,-0.01,0.18,-0.02,0
20150605,0.06,0.83,0.05,-0.51,-0.38,0
20150608,-0.66,0.03,0.03,0.02,0.06,0
20150609,0.02,-0.28,0.35,0.13,0.11,0
20150610,1.2,0.16,0.19,-0.06,0.02,0
20150611,0.21,-0.09,-0.11,0.15,-0.01,0
20150612,-0.63,0.34,0.13,0.06,0.1,0
20150615,-0.45,0.16,-0.13,-0.17,-0.25,0
20150616,0.57,0.09,0,0.09,-0.07,0
20150617,0.16,-0.3,-0.63,0.21,-0.11,0
20150618,0.99,0.16,-0.43,-0.13,-0.15,0
20150619,-0.43,0.51,-0.2,0.06,-0.06,0
20150622,0.63,0.08,-0.06,-0.14,-0.25,0
20150623,0.12,0.24,0.27,-0.11,-0.01,0
20150624,-0.79,-0.14,0.13,0.19,-0.01,0
20150625,-0.25,0.33,-0.2,0.15,-0.08,0
20150626,-0.06,-0.19,0.45,0.29,0.35,0
20150629,-2.15,-0.41,0.18,0.31,0.1,0
20150630,0.33,0.3,-0.67,-0.3,-0.64,0
20150701,0.6,-0.77,-0.06,0.07,0.08,0
20150702,-0.11,-0.6,-0.04,-0.02,0.01,0
20150706,-0.37,0.07,-0.55,-0.22,-0.23,0
20150707,0.53,-0.48,-0.25,0.42,-0.02,0
20150708,-1.68,-0.05,0.07,0.05,0.11,0
20150709,0.28,0.19,-0.03,-0.22,-0.25,0
20150710,1.24,0.19,-0.55,-0.18,-0.07,0
20150713,1.14,-0.12,-0.42,0.11,-0.32,0
20150714,0.47,0.12,0.13,-0.33,-0.36,0
20150715,-0.19,-0.81,-0.08,-0.27,-0.3,0
20150716,0.78,-0.25,-0.62,-0.25,-0.67,0
20150717,0.05,-0.68,-0.65,-0.26,-0.94,0
20150720,-0.01,-0.8,-0.57,0.27,-0.3,0
20150721,-0.47,0.08,0.3,-0.14,-0.06,0
20150722,-0.18,0.26,0.19,-0.43,0.09,0
20150723,-0.6,-0.39,-0.34,-0.06,-0.03,0
20150724,-1.08,-0.67,-0.02,-0.21,-0.02,0
20150727,-0.74,-0.25,0.08,0.02,0.37,0
20150728,1.23,-0.33,-0.11,0.13,0.16,0
20150729,0.74,-0.21,0.52,0.94,0.3,0
20150730,0.12,0.19,-0.26,0.06,-0.14,0
20150731,-0.15,0.72,-0.99,0.23,-0.07,0
20150803,-0.35,-0.33,-0.17,0.08,0.04,0
20150804,-0.14,0.04,-0.19,-0.01,0.18,0
20150805,0.36,-0.08,-0.44,-0.07,-0.07,0
20150806,-0.88,-0.37,1.99,0.31,0.74,0
20150807,-0.36,-0.4,-0.35,0.33,0.19,0
20150810,1.32,0.2,0.69,0.29,0.05,0
20150811,-0.98,-0.06,0.43,0.05,0.07,0
20150812,0.07,-0.19,-0.27,-0.11,-0.16,0
20150813,-0.14,-0.41,0.01,0.1,-0.09,0
20150814,0.43,0.13,0.44,-0.08,0.06,0
20150817,0.6,0.35,-0.87,-0.18,-0.42,0
20150818,-0.35,-0.62,0.34,0.32,0.09,0
20150819,-0.85,-0.2,-0.22,-0.19,-0.04,0
20150820,-2.24,-0.23,0.6,0.54,0.65,0
20150821,-2.95,1.8,0.14,-0.75,0.84,0
20150824,-3.9,0.26,-0.43,0.37,0.13,0
20150825,-1.17,0.57,-0.61,-0.25,-0.65,0
20150826,3.68,-1.42,-0.37,0.15,-0.68,0
20150827,2.4,-0.58,0.62,-0.21,-0.22,0
20150828,0.23,0.98,0.08,-0.16,0.08,0
20150831,-0.74,0.9,1.42,0.1,0.51,0
20150901,-2.91,0.25,-0.51,-0.06,0.07,0
20150902,1.81,-0.31,-0.92,0.2,-0.69,0
20150903,0.17,-0.18,0.72,0.32,0.77,0
20150904,-1.39,0.82,-0.57,-0.1,-0.47,0
20150908,2.52,-0.4,-0.55,-0.12,-0.28,0
20150909,-1.34,0.16,0.11,0.18,0.01,0
20150910,0.49,-0.21,-0.31,-0.28,-0.69,0
20150911,0.44,-0.28,-0.7,-0.11,-0.29,0
20150914,-0.41,0.03,0.01,-0.04,-0.07,0
20150915,1.22,-0.15,0.25,0.05,0.09,0
20150916,0.84,0.06,0.44,0.41,0.22,0
20150917,-0.17,0.75,-1.5,-0.34,-0.54,0
20150918,-1.62,0.27,-0.96,-0.45,-0.53,0
20150921,0.36,-0.84,1.21,0.41,0.21,0
20150922,-1.29,-0.29,0.14,0.24,0.07,0
20150923,-0.27,-0.22,-0.14,-0.23,-0.28,0
20150924,-0.36,0.24,0.56,-0.04,0.03,0
20150925,-0.22,-1.43,1.88,0.57,0.7,0
20150928,-2.63,-0.2,1.17,0.5,0.71,0
20150929,-0.07,-0.6,0.71,0.7,0.65,0
20150930,1.88,-0.48,-0.48,-0.38,-0.34,0
20151001,0.13,-0.51,-0.05,-0.07,-0.21,0
20151002,1.48,0.29,-0.84,-0.07,-0.02,0
20151005,1.93,0.74,0.77,0.23,0.63,0
20151006,-0.43,-0.08,1.72,0.41,0.58,0
20151007,0.94,0.68,-0.24,-0.24,0,0
20151008,0.84,0.34,0.76,0.57,0.75,0
20151009,0.12,0.1,-1.08,0.12,-0.17,0
20151012,0.06,-0.44,-0.07,-0.02,-0.1,0
20151013,-0.74,-0.67,0.69,0.28,0.2,0
20151014,-0.6,-0.25,-0.02,-0.34,0.38,0
20151015,1.56,0.61,-0.15,-1.15,-0.5,0
20151016,0.36,-0.55,-0.35,-0.01,0.01,0
20151019,0,0.09,-0.71,0.11,-0.35,0
20151020,-0.15,0.17,1.21,0.53,0.28,0
20151021,-0.74,-0.9,-0.18,0.36,0.22,0
20151022,1.5,-0.76,0.47,0.04,0.57,0
20151023,1.09,-0.09,-0.6,0.13,-0.84,0
20151026,-0.2,-0.47,-0.72,0.16,-0.19,0
20151027,-0.42,-1.06,-0.88,-0.47,-0.52,0
20151028,1.43,1.5,0.64,-0.69,-0.24,0
20151029,-0.2,-0.89,0.09,0.49,-0.2,0
20151030,-0.41,0.22,-0.54,0.42,0.09,0
20151102,1.25,0.9,-0.02,-0.47,-0.05,0
20151103,0.32,0.48,0.21,0.1,-0.09,0
